stamp_sec,cross_track_error,heading_error,steering_command,steering_oscillation,commanded_speed,curvature,control_latency_ms,lookahead_distance,target_x,target_y,path_pose_count
1782712952.2950292,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.12568999954964966,0.8,0.0,0.0,5
1782712952.3943377,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06922499960637651,0.8,0.0,0.0,5
1782712952.4945624,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.08431699916400248,0.8,0.0,0.0,5
1782712952.5952492,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.1558760004627402,0.8,0.0,0.0,5
1782712952.6950293,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.16108799991343403,0.8,0.0,0.0,5
1782712952.7952976,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11790400003519608,0.8,0.0,0.0,5
1782712952.8947935,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.13886600027035456,0.8,0.0,0.0,5
1782712952.9947217,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.05496099947777111,0.8,0.0,0.0,5
1782712953.0940318,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.046162999751686584,0.8,0.0,0.0,5
1782712953.1941023,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06130099973233882,0.8,0.0,0.0,5
1782712953.295262,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.12037600026815198,0.8,0.0,0.0,5
1782712953.3955781,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11327899937896291,0.8,0.0,0.0,5
1782712953.4945898,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06880499950057128,0.8,0.0,0.0,5
1782712953.594978,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11681100022542523,0.8,0.0,0.0,5
1782712953.6945407,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06746700000803685,0.8,0.0,0.0,5
1782712953.7942164,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.04983299913874362,0.8,0.0,0.0,5
1782712953.8951762,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11898000047949608,0.8,0.0,0.0,5
1782712953.9952314,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.1253239997822675,0.8,0.0,0.0,5
1782712954.0953925,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11868699948536232,0.8,0.0,0.0,5
1782712954.1947932,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.1891450001494377,0.8,0.0,0.0,5
1782712954.2947798,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.07271300000866177,0.8,0.0,0.0,5
1782712954.3946238,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.0976330002231407,0.8,0.0,0.0,5
1782712954.494647,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06471199958468787,0.8,0.0,0.0,5
1782712954.5949247,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.09369400049763499,0.8,0.0,0.0,5
1782712954.6952538,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.12962599976162892,0.8,0.0,0.0,5
1782712954.7952867,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.12527000035333913,0.8,0.0,0.0,5
1782712954.8955142,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.10829600068973377,0.8,0.0,0.0,5
1782712954.9947453,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06329900043056114,0.8,0.0,0.0,5
1782712955.0955899,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.15395999980682973,0.8,0.0,0.0,5
1782712955.1949642,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06160000066302018,0.8,0.0,0.0,5
1782712955.2945585,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.08975400032795733,0.8,0.0,0.0,5
1782712955.3945274,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.07804000051692128,0.8,0.0,0.0,5
1782712955.4948049,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06625599962717388,0.8,0.0,0.0,5
1782712955.594619,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.15500599965889705,0.8,0.0,0.0,5
1782712955.6946301,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.08720400001038797,0.8,0.0,0.0,5
1782712955.79463,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.09165100073005306,0.8,0.0,0.0,5
1782712955.8948653,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.09019600020110374,0.8,0.0,0.0,5
1782712955.9941702,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06001499968988355,0.8,0.0,0.0,5
1782712956.095383,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.14444800035562366,0.8,0.0,0.0,5
1782712956.1949236,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.0895729999683681,0.8,0.0,0.0,5
1782712956.2946403,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.0670769995849696,0.8,0.0,0.0,5
1782712956.3941183,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.05740300002798904,0.8,0.0,0.0,5
1782712956.4950218,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.07549400015705032,0.8,0.0,0.0,5
1782712956.5953767,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11952299973927438,0.8,0.0,0.0,5
1782712956.695218,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.1346990002275561,0.8,0.0,0.0,5
1782712956.7948484,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11322299997118535,0.8,0.0,0.0,5
1782712956.8949616,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.057936000303016044,0.8,0.0,0.0,5
1782712956.9954782,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.12392699954943964,0.8,0.0,0.0,5
1782712957.0952146,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06829599988122936,0.8,0.0,0.0,5
1782712957.194758,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.12179500026832102,0.8,0.0,0.0,5
1782712957.2947712,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.07438400007231394,0.8,0.0,0.0,5
1782712957.3945105,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06706500062136911,0.8,0.0,0.0,5
1782712957.4951541,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.08967400026449468,0.8,0.0,0.0,5
1782712957.595531,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11769100001401966,0.8,0.0,0.0,5
1782712957.6946893,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06255199969018577,0.8,0.0,0.0,5
1782712957.7954047,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.12799100022675702,0.8,0.0,0.0,5
1782712957.895254,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.12021500060654944,0.8,0.0,0.0,5
1782712957.9947073,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.07490700045309495,0.8,0.0,0.0,5
